,name,user_rating,title,user_review
0,Madison Hatter,3.0,Generally gave higher blood oxygen readings then the other three units I tested,"  Of the four oximeters I tested multiple times, three generally gave the same readings while the SantaMedical oximeter generally gave readings 2-4 points higher than the other three.Interestingly, the LPOW model A340, the Amemo A310, and the Amemo A320E are all manufactured by Shenzhen Aeon Technology Co., Ltd, located in China.My top choice, the Amemo A320E gave the same readings as the oximeter my doctor used during my appt on 3 Nov 2020. My doctor also noted this oximeter fit my finger better than the other three.Please see my data spreadsheet attached as a photo."
1,Adam,5.0,Great for People with Asthma!,"  I am a 25-year-old male, I have asthma, and right now I am maybe 10-20 pounds overweight. I have relatively well-controlled asthma, however, sometimes if I get sick my asthma gets pretty bad. Given that we are in a global pandemic with a disease that is usually severe for people like me, I decided that even though my SPO2 levels sometimes dip below my typical 98-99% levels, it's very important to take your vitals daily, at specific times if you have a routine, in order to get a baseline for what is normal for you. This is a better indicator of whether or not you are sick with either a respiratory disease and/or your asthma/other respiratory condition is worse one-day-verses another. This partcicular SPO2 metering device was priced well & is very accurate. Some of my complaints are that it is made in a way that contributes to climate change and environmental pollution. This pollution is the very reason for not only destroying our planet, but why people like myself develop asthma in the first place. However, despite this, this product is worth the money and my health is very important.This may seem boring, but, I hope this was helpful."
2,Tom T,5.0,Simple. Does what it should,"  Purchased this O2 monitor while recovering from pneumonia. It arrived quickly and I found it very simple to use. Readings came up quickly (much sooner than the 30 seconds noted). Reading are consistent and don't seem to vary around more than 1%. Operation is very simple. Put it on a finger, relax the finger, press the button.The readout is large and bright so I can read it without glasses. I examined the O2 sensor used at my doctor's office and it appears to be the same unit I'm using. good enough for me.I recommend."
3,DAG,1.0,Check accuracy with healthcare provider's equipment.,"  I purchased 2 different brands, compared to known accurate oximeter, both do not correlate.  Maybe I just unlucky twice.  But  I strongly suggest any purchased be compared to those of known healthcare provider who has accurate equipment.Update:  So I took it on a walk today to give it a 2nd chance.  The battery cover fell off in my pocket.  It at times correlated with my known accurate meter, but that did not last long.  The picture is another example.  Note it does correlate fairly well on the heart rate.  As a doctor concerned about respiratory status of ill patients using these at home, I strongly suggest all oximeters should be correlated with those of healthcare providers.Update#2  Santamedical offered to send me a replacement - will update when new unit checked."
4,CGV,1.0,Ordered two Pulse Ox Meters.....the seals of each of the boxes were broken,"  I really wanted to like this product.  However, upon receiving delivery, the boxes for the two meters I received were apparently opened in that  the plastic seal on each box were broken.  I did not want to send back the meters in that I needed the meters to monitor oxygen levels in light of teh COVID pandemic......."
5,Six One Six,1.0,DO NOT BUY!!!,  Product worked one time after I received it. Display will not come on most of the time and when it does it looks like this. Returning for a refund.
6,Woodchuck,2.0,Just OK,"  This Pulse Oximeter has me scratching my head, because I don't think it is very accurate.  I found that the heart-rate monitor is totally unreliable, especially after exercise.  That makes me question the O2 accuracy as well.Just today, after a bike ride, mine jumped around from 188 bpm, down to 49 bmp, up to 163 bpm, and then down to 115 bpm over a 3 min period.  I resorted to a blood pressure monitor to calculate my heart rate, which was actually 89 bpm."
7,MARIA,1.0,Don't buy this product!!!!,"  Does NOT work at all!!!!I thought battery problem so check many times but NO... Does not work at all, it does not even emit lights on, disgusting!!;You don't have to be a genius to operate this, and I happen to be a nurse so figure it out!!"
8,DG Global,5.0,Great buy!,"  Love this pulse oximeter. This is my 2nd purchase. Ordered this before, before the pandemic, for my emergency kit for our home and for the reason that me and my son has asthma we wanna make sure that our SPO2 is within the normal range and i order again to bring with me in my purse all the time. Accurate I must say. And is very convenient, compact, portable and easy to use. Just throw in your purse, it's safe since it comes with pouch and lanyard. This will be a great gift for medical workers or just for personal use. I will definitely recommend this."
9,Papa Will,5.0,Works exactly as expected,"  Having a bad cough, I was tested for COVID and the flu, but both came back negative but there was concern over my blood oxygen level at 93%. I got my prescription and ordered this all in the same day. After starting the antibiotic, my levels were back up to 99% but have seen them drop immediately after a coughing fit. The price was good and the ratings were high, and I would agree with the ratings. Five stars. Nice to have a reference level that I can trust."
10,Melissa,5.0,Easy to Read and Operate,"  This monitor arrives securely packaged with a set of batteries, lanyard and convenient storage pouch that has a secure but easy to open velcro flap.  The device has an easy slide battery compartment making the batteries easy to install. It is user friendly but this one did not come with any information regarding the normal ranges for the readings.  That is easily solved with a quick Google search but it would have been nice to include a printout.  It is easy to open, not too fussy about finger placement and easy to read.  Turning it off did create some confusion for the person using it because it flashed Bye bye a bit too quickly to be noticeable so there were a couple of tries before feeling comfortable with that process."
11,Bull 30290,2.0,"Works but leaves a lot to be desired, not recommended","  I had a previous sensor that loved, but I lost it and it was no longer available on Amazon for a replacement so I bought these. Overall they seem to work but I'm not impressed...For reference: I bought two of these and my observations of both have been identical. The price point on my old unit and these was very similar.1. They are far more bulky than others I have has in the past.2. They are not as sturdy, and the hinge mechanism works but feels flimsy and doesn't stay aligned so I worry about it breaking soon.3. The battery compartment cover is barely held closed by the detent and comes off easily, somes even just bumping it. Worse, the battery compartment covers the entire back of the unit including the corner edges of the sides, so it is nearly impossibly to avoid and pops off all the time. It is also very difficult to remove the device from your finger without the battery door popping loose.4. The display area is much smaller than expected for the size of the unit. I later found my old unit and it has a slimmer design with a proportionally bigger display.5. The display is fixed in one orientation; it does not allow you to rotate it (e.g. for self-use vs for use on someone else).6. My older unit included settings and options for alarms, display settings, etc. These offer none of that (as far as I can tell).Overall they seem to work but I'm not impressed and am considering returning them. I recommend looking for a different model."
12,JanetE,1.0,"During this dangerous time, you need to have a reliable oximeter","  I'm in healthcare and I've used several oximeters. I do not think this one gives accurate readings. Usually the oxygen saturation will trend upwards. That's why you need to wait about 30 - 60 seconds.With this device, it's been 99 % every time. It never vacillates.I've used and given away around 10 oximeters. I've never seen one where the oxygen saturation never varies. If you want to return it, you need to call or text someone at amazon. The lady who assisted me said that my refund will be back on my card in 3 days. You cannot return it. I'll dispose of it once I see that my money has been returned to my card.During this dangerous time, you need to have a reliable oximeter. Stay away from this one."
13,Josef,3.0,Easy to use Oximeter,"  I like that the oximeter is easy to use and appears accurate. The only reason that I didn't give this oximeter  higher marks is because the plastic plate that covers the batteries comes off easily. At least on my unit, the plate could secure itself better. It has popped off on me several times, and I've had to use scotch tape to secure, otherwise I would have lost it. Other than this, the unit is functional and does the job!"
14,JudyBug,1.0,Item is NOT returnable although received damaged,"  I purchased this item based on its great reviews of accuracy. Unfortunately, the top flips off every time I use it, showing the inside of the top plate (motherboard and connector). It is my own fault that I failed to notice this seller does not allow returns, even if the merchandise is damaged. Because of its weight for accuracy, I cannot repair using glue or duct tape or chewing gum to fix the problem because the accuracy may be effected."
15,Jan,5.0,Easy to use and fast delivery,"  The order came in one day. Opened, inserted the battery and I was off and running.  The screen was very easy to read.  I did a quick Google search to see what PI (the bottom number on the screen) meant.  I cannot speak about the accuracy because I bought this device for home use.  I thought it would be good to add to my first aid kit in light of respiratory issues related to Covid-19.  Just an added tool to have on hand, God forbid, I should be infected.The quality looks good. The fact that it came with batteries and a case to protect it was an added convenience. I'm not sure if I'll need the lanyard but nice to have for the future I suppose."
16,JSS,2.0,Low quality,"  I regret buying this pulse oximeter but it's not worth my time to return it.  A number of red flags.  We had a decent unit that we gave to a relative when he contracted COVID-19, and figured we would just get another one for ourselves.  Since the local pharmacy where we got our previous one from was out of them, we ordered this one online.- Build quality of this unit is really cheap.  It wobbles and fits together poorly.  When putting it on your finger you have to avoid holding it a certain  way or the battery cover pops off.- It comes with a lanyard, as many of them do.  However, I DARE you to try to get it on.  The tiny holes to slip it through do not allow it to make the turn after getting it through the first hole, and both of us tried repeatedly and failed to get it done.  We're both capable people, and can thread a needle or even a fishhook, but not this.  It's no wonder why unlike our previous unit, this one comes shipped loose.- Not sure about the accuracy.  O2 level seems consistently a bit high +2% compared to all the others we have used (my wife is a nurse).  But close enough.- Distracting display with unnecessary clutter on the screen.- Tiny multi-language instruction manual, need magnification to read it, but it is what it is.Bottom line: It works, but feels and looks cheap.  We will likely give this one away and get a decent one elsewhere locally."
17,Dennis,5.0,Inexpensive well build digital OX & PULSE sampler,"  Bought to have on hand to check ox levels in event get sick. Assume its accurate but no way to know at this point as shows 98% saturation, my phone measures at 95% so for home usage, it is fine. My brother in law got an ox meter, got covid and his ox level was 84%. That single measurement put him in hospital on oxygen under active Dr. care and it was the concern that has now put him on mend. Disclaimer says not for medical usage but measuring  oxygen & pulse is same for exercise as sickness measurement. Thats why I bought it! Well built, has carry pouch, batteries and easy to use"
18,Rich P.,2.0,It started off Good and became unstable after 30 days,"  When I received this device it worked very well and very quickly for about two weeks.  After that time it started to take up to 60 seconds to recognize a finger and in fact often just turned off because it would not recognize the finger.  This happens even when I change fingers.  Further, many times when it finally does recognize a finger after about two to three minutes and after trying three to four different fingers it would give a reading of 85% or lower only to adjust up to 99% with another finger and then back to 99% when the first finger was used.  This problem has become more and more of a problem and I am only at 35 days.  I would return, but since it worked well at first I thought it would be good and am now outside the return window.  They said it came with a lifetime limited warranty, but cannot contact anyone and Amazon washed their hands when I sent them a note.  I would just say, Buyer beware if you plan on buying it and if you are good with a two to three week unit then you should be fine."
19,Dave Sparkman,5.0,works well,"  One of the first things that supposedly happens when you get covid, is that your oxygen levels fall.So, it's always nice to have one of these on hand. After checking reviews, I chose this one, and it has not been a disappointment. A couple of days ago I woke up being dizzy and nauseous. I checked my oxy levels, and they were 99 % . Turns out it was an impacted ear drum, and when I got it cleaned out I was a lot better.But it helps to have an assurance that it's not serious."
20,Micky,5.0,Decent and fast reading,  Been to Dr office multiple times and did side by side with theirs.  Was within 1 point. Very satisfied.  Almost instant reading.
21,Retired in Texas,5.0,Better Than Expected,"  The Santamedical Dual Color OLED Pulse Oximeter Fingertip, Blood Oxygen Saturation Monitor (SpO2) was delivered timely and well packaged.  Everything was included, with easy to understand instructions, except for the battery markings inside the actual oximeter were very hard to see.  It took me about 3 minutes and a magnifying glass to finally locate the positive and negative marks.  Also if you look at the instructions, the gold bands of the batteries are facing the same which would make you think the batteries go in the same direction, which they do not! They actually face opposite, as in most, but not all things.  That is my only comment to watch for.After getting the batteries inserted correctly, the unit powers up easily, is easy to read and seems very accurate. So I'm very happy with the purchase and recommend it!!"
