title,rating,body
"If you want to panic, or IF YOU WANT TO BE BRIBED, buy one of these !",1,"The first reading this morning showed I had blood oxygenation of 99% - with a pulse of 40!  Confident that I am NOT Michael Jordan, I tried a multi-device comparison. In this, my blood pressure tester showed a pulse of 76, my cheap pink meter showed a pulse of 74, and the SantaMedical showed my pulse at 56.  The BP tester was on my left arm, the two finger meters on my right hand.  All readings were taken simultaneously.  The BP device, the pink finger meter, and my subjective experience were in accordance with each other.  The SantaMedical was consistently an outlier.  I have no way to evaluate whether the PI readings are accurate or not, but I note they ranged from 1.5 to 5.0 within 10 minutes without any external variables changing.  Beautiful display.  Crazy data.  Going back!Feb 2, 2021  These vendors are incredibly - BAD.  They must have sent me at least eight emails asking me to delete this review of their defective junk.  Several plead that it is a family business and bad reviews hurt, implying that I am against family and hurting children because I've taken the time to write an honest review.In at least three of their emails to me, they have offered to bribe me.  The first bribe offer was for $30.  In the second or third, they upped their bribe offer to $35.  This, on a product that costs less than $20.  The vendors include links to facilitate deleting and or modifying my 1 star review.  (At this point it would be a negative 5 star rating if I could give that instead of a +1 star.)  I told them that if they sent me a meter that gave accurate data, that I'd test it and update this review - but no!  Their response was to tell me that because of Covid-19 they COULDN'T sent me a replacement meter.  Covid-19 doesn't, however, seem to diminish their efforts to sell more meters right here, today!  Shame on them."
Snoopy has a pulse and an oxygen reading!,1,How can we trust this device when stuffed animals generate readings? A Sharpie has a pulse of 66 and an oxygen rating of 99? We also had one individual show a pulse rate of 164 and then a minute or so later a pulse rate of 72. Not cool.
Inaccurate,1,Least accurate pulse Ox I came across. I am a MD. I use these for a living. The inaccuracy was disappointing of the oxygen reading was a disappointment. Will have to buy a different one from CVS or Walgreen. Amazon should not be carrying this device on its site.
This product does not give accurate readings.,1,Look at this carrot! It’s alive!
I cannot trust this devide readings.,1,"How something that doesn't have a pulse, no blood or moving parts like a pen and a plastic doll can get a reading?The pen was even showing 32bmp and 99 oxygen level.I will definitely return this."
Defective device,1,"I bought this item a week ago and it does not correlate with the pulse oximeter units at my job. It's not displaying an accurate reflection of a persons oxygenation status.  As a Respiratory Therapist, it's very important to have a device with accuracy.  Please do not purchase this item."
Disappointed all around...,1,"I received the pulse oximeter a few days ago, tested it a few times, and found it to be inaccurate as the ranges varied.  Today I tried it again and after a few more erratic readings, the product doesn’t turn on anymore.We chose this product based on all the 5 star reviews. However, with the product, we also received an insert offering a free gift in exchange for a review. Seems suspicious."
Poor instructions and customer support.,1,"The instructions for the device are insufficient and there are no instructions on how to hand the neck holder which is important as one could harm the device if it is improperly attached.They offer a free 4 Port USB SMart Phone Fast Charger if you reply to them with a review, but then they never followed through with deliver.Customer support was very poor and non responsive to my concerns."
Don't waste your money,1,The SPo2 reading bounces all over the place. Even after 30 seconds the reading varies so much you can not depend upon the information. The PI% reading varies from.2 to 20% - so what is the correct value.This unit was made in China - what do you expect! Don't waste your money
Wildly inaccurate,1,I experimented and put a pen in it.  It read 99% and heart rate of 167 for an object.  Friends have other Santa Medical models that do not read objects as being alive.  I feel awful for people who feel this device gives them peace of mind!  I am returning it and looking for the other Santa Medical model: SM-150BL.
"If you want to panic, or IF YOU WANT TO BE BRIBED, buy one of these !",1,"The first reading this morning showed I had blood oxygenation of 99% - with a pulse of 40!  Confident that I am NOT Michael Jordan, I tried a multi-device comparison. In this, my blood pressure tester showed a pulse of 76, my cheap pink meter showed a pulse of 74, and the SantaMedical showed my pulse at 56.  The BP tester was on my left arm, the two finger meters on my right hand.  All readings were taken simultaneously.  The BP device, the pink finger meter, and my subjective experience were in accordance with each other.  The SantaMedical was consistently an outlier.  I have no way to evaluate whether the PI readings are accurate or not, but I note they ranged from 1.5 to 5.0 within 10 minutes without any external variables changing.  Beautiful display.  Crazy data.  Going back!Feb 2, 2021  These vendors are incredibly - BAD.  They must have sent me at least eight emails asking me to delete this review of their defective junk.  Several plead that it is a family business and bad reviews hurt, implying that I am against family and hurting children because I've taken the time to write an honest review.In at least three of their emails to me, they have offered to bribe me.  The first bribe offer was for $30.  In the second or third, they upped their bribe offer to $35.  This, on a product that costs less than $20.  The vendors include links to facilitate deleting and or modifying my 1 star review.  (At this point it would be a negative 5 star rating if I could give that instead of a +1 star.)  I told them that if they sent me a meter that gave accurate data, that I'd test it and update this review - but no!  Their response was to tell me that because of Covid-19 they COULDN'T sent me a replacement meter.  Covid-19 doesn't, however, seem to diminish their efforts to sell more meters right here, today!  Shame on them."
Snoopy has a pulse and an oxygen reading!,1,How can we trust this device when stuffed animals generate readings? A Sharpie has a pulse of 66 and an oxygen rating of 99? We also had one individual show a pulse rate of 164 and then a minute or so later a pulse rate of 72. Not cool.
Inaccurate,1,Least accurate pulse Ox I came across. I am a MD. I use these for a living. The inaccuracy was disappointing of the oxygen reading was a disappointment. Will have to buy a different one from CVS or Walgreen. Amazon should not be carrying this device on its site.
This product does not give accurate readings.,1,Look at this carrot! It’s alive!
I cannot trust this devide readings.,1,"How something that doesn't have a pulse, no blood or moving parts like a pen and a plastic doll can get a reading?The pen was even showing 32bmp and 99 oxygen level.I will definitely return this."
Defective device,1,"I bought this item a week ago and it does not correlate with the pulse oximeter units at my job. It's not displaying an accurate reflection of a persons oxygenation status.  As a Respiratory Therapist, it's very important to have a device with accuracy.  Please do not purchase this item."
Disappointed all around...,1,"I received the pulse oximeter a few days ago, tested it a few times, and found it to be inaccurate as the ranges varied.  Today I tried it again and after a few more erratic readings, the product doesn’t turn on anymore.We chose this product based on all the 5 star reviews. However, with the product, we also received an insert offering a free gift in exchange for a review. Seems suspicious."
